,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
719,588000,2016.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,112.0,Düz,Dizel,Önden Çekiş,50.0,1598.0,110.0,1 değişen,0,1
720,300000,2004.0,Toyota,Corolla,1.6 Sol,325.0,Otomatik,LPG & Benzin,Önden Çekiş,55.0,1598.0,110.0,8 boyalı,8,0
721,179000,2000.0,Seat,Leon,1.6 Stella,325.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1595.0,100.0,"1 değişen, 9 boyalı",9,1
722,915000,2017.0,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,41.5,Düz,Benzin,Önden Çekiş,66.0,1395.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
723,195000,2005.0,Peugeot,307,1.6 HDi Profil,240.0,Düz,Dizel,Önden Çekiş,60.0,1560.0,91.0,1 değişen,0,1
724,275000,2005.0,Renault,Megane,1.6 Dynamique,186.0,Otomatik,LPG & Benzin,Önden Çekiş,60.0,1598.0,115.0,,0,0
725,612500,2013.0,Honda,Civic,1.6 i-VTEC ECO Elegance,133.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,1 değişen,0,1
726,145000,1997.0,Renault,R 9,1.4 Broadway RN,213.0,Düz,LPG & Benzin,Önden Çekiş,,1390.0,83.0,,0,0
727,428000,2020.0,Citroen,C-Elysee,1.5 BlueHDi Feel,71.0,Düz,Dizel,Önden Çekiş,50.0,1499.0,100.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
728,548500,2017.0,Ford,Focus,1.5 TDCi Trend X,170.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1499.0,120.0,,0,0
729,374000,2008.0,Hyundai,Accent Era,1.6 Select,68.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1599.0,112.0,,0,0
730,400000,2012.0,Skoda,SuperB,1.6 TDI Active,267.0,Düz,Dizel,Önden Çekiş,60.0,1598.0,105.0,"1 değişen, 4 boyalı",4,1
731,438000,2013.0,Citroen,C5,1.6 e-HDi Executive,308.0,Yarı Otomatik,Dizel,Önden Çekiş,71.0,1560.0,117.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
732,700000,2018.0,Honda,Civic,1.6 i-VTEC Eco Executive,157.0,Otomatik,LPG & Benzin,Önden Çekiş,47.0,1597.0,125.0,,0,0
733,85000,1989.0,Tofaş,Doğan,SLX,34.65,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,83.0,,0,0
734,415000,2004.0,Skoda,SuperB,2.5 TDI Elegance,487.0,Otomatik,Dizel,Önden Çekiş,62.0,2496.0,163.0,,0,0
735,393500,2016.0,Opel,Corsa,1.3 CDTI Essentia,144.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,75.0,1 boyalı,1,0
736,422000,2016.0,Renault,Fluence,1.5 dCi Touch,194.5,Düz,Dizel,Önden Çekiş,60.0,1461.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
737,260000,2013.0,Dacia,Lodgy,1.5 dCi Laureate,345.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,"1 değişen, 1 boyalı",1,1
738,565000,2018.0,Opel,Astra,1.4 T Edition Plus,41.0,Otomatik,Benzin,Önden Çekiş,56.0,1364.0,140.0,,0,0
739,900000,2016.0,Audi,A3,A3 Sedan 1.0 TFSI Dynamic,23.0,Yarı Otomatik,Benzin,Önden Çekiş,50.0,999.0,116.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
740,310000,2011.0,Renault,Clio,1.5 dCi Grandtour Executive,188.0,Düz,Dizel,Önden Çekiş,55.0,1461.0,85.0,,0,0
741,300000,2009.0,Ford,Focus,1.6 Trend X,235.0,Otomatik,Benzin,Önden Çekiş,55.0,1596.0,100.0,,0,0
742,245000,2006.0,Ford,Fiesta,1.6 Ghia,216.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1596.0,100.0,,0,0
743,312000,2006.0,Peugeot,407,2.0 HDi Comfort,136.2,Düz,Dizel,Önden Çekiş,66.0,1997.0,138.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
744,228000,2006.0,Fiat,Palio,1.3 Multijet Active,198.0,Düz,Dizel,Önden Çekiş,51.0,1248.0,70.0,,0,0
